azimuth_deg,altitude_deg,altitude_smooth_deg,edge_strength,x_pix,y_pix
57.00,10.9000,10.8617,42.78,185.351,1028.148
57.50,10.8500,10.8600,41.69,182.301,1023.772
58.00,10.8500,10.8573,41.22,179.551,1019.214
58.50,10.8500,10.8539,40.72,176.842,1014.631
59.00,10.8500,10.8500,41.66,174.173,1010.025
59.50,10.8500,10.8453,40.86,171.545,1005.395
60.00,10.8500,10.8393,41.46,168.957,1000.743
60.50,10.8500,10.8315,40.92,166.411,996.069
61.00,10.8500,10.8217,39.92,163.906,991.372
61.50,10.8000,10.8097,40.73,161.169,986.791
62.00,10.8000,10.7959,40.41,158.746,982.049
62.50,10.8000,10.7804,39.30,156.364,977.286
63.00,10.7500,10.7635,38.84,153.748,972.632
63.50,10.7500,10.7454,40.22,151.449,967.826
64.00,10.7500,10.7261,39.08,149.192,963.000
64.50,10.7000,10.7055,39.58,146.699,958.277
65.00,10.7000,10.6838,39.55,144.526,953.410
65.50,10.6500,10.6611,40.18,142.115,948.641
66.00,10.6500,10.6374,38.53,140.027,943.734
66.50,10.6000,10.6127,37.79,137.699,938.921
67.00,10.6000,10.5870,38.45,135.697,933.976
67.50,10.6000,10.5603,37.45,133.738,929.014
68.00,10.5000,10.5324,37.92,131.251,924.244
68.50,10.5000,10.5033,37.44,129.378,919.243
69.00,10.5000,10.4729,37.09,127.549,914.227
69.50,10.4500,10.4407,36.76,125.475,909.291
70.00,10.4000,10.4064,35.99,123.444,904.335
70.50,10.4000,10.3696,36.96,121.746,899.267
71.00,10.3500,10.3300,35.59,119.802,894.273
71.50,10.3000,10.2877,33.16,117.901,889.260
72.00,10.2500,10.2430,35.48,116.043,884.228
72.50,10.2000,10.1962,36.17,114.229,879.178
73.00,10.1500,10.1479,34.86,112.458,874.109
73.50,10.1000,10.0985,35.78,110.732,869.022
74.00,10.0500,10.0480,33.35,109.049,863.918
74.50,10.0000,9.9966,31.46,107.412,858.797
75.00,9.9500,9.9438,34.43,105.818,853.659
75.50,9.9000,9.8896,33.97,104.269,848.505
76.00,9.8500,9.8338,34.39,102.765,843.335
76.50,9.8000,9.7764,33.75,101.306,838.149
77.00,9.7000,9.7175,33.70,99.595,833.005
77.50,9.6500,9.6574,33.80,98.226,827.787
78.00,9.6000,9.5958,33.04,96.902,822.554
78.50,9.5500,9.5326,33.07,95.625,817.308
79.00,9.5000,9.4674,31.97,94.392,812.048
79.50,9.4000,9.4001,31.89,92.907,806.818
80.00,9.3500,9.3310,31.15,91.767,801.529
80.50,9.2500,9.2611,30.72,90.373,796.266
81.00,9.2000,9.1925,32.03,89.325,790.951
81.50,9.1000,9.1284,30.61,88.023,785.656
82.00,9.0500,9.0733,29.23,87.068,780.316
82.50,8.9500,9.0332,29.23,85.860,774.991
83.00,8.8500,9.0147,29.30,84.698,769.651
83.50,8.8500,9.0238,25.70,84.183,764.253
84.00,8.8500,9.0648,26.57,83.715,758.851
84.50,8.9000,9.1386,24.09,83.594,753.429
85.00,9.1000,9.2428,21.22,84.424,747.968
85.50,9.3500,9.3719,19.09,85.606,742.515
86.00,9.5500,9.5192,19.36,86.538,737.094
86.50,9.6500,9.6788,19.89,86.913,731.704
87.00,9.8500,9.8464,18.81,87.943,726.317
87.50,10.0000,10.0196,18.49,88.719,720.950
88.00,10.1500,10.1965,21.18,89.543,715.599
88.50,10.3500,10.3745,19.71,90.720,710.269
89.00,10.4500,10.5495,20.32,91.336,704.946
89.50,10.6500,10.7163,19.55,92.609,699.654
90.00,11.6000,10.8703,21.85,98.536,694.581
90.50,10.9000,11.0103,27.21,94.381,689.091
91.00,11.0500,11.1385,25.07,95.491,683.842
91.50,11.2000,11.2601,23.14,96.647,678.611
92.00,11.3500,11.3806,22.60,97.850,673.399
92.50,11.4500,11.5039,21.88,98.792,668.179
93.00,11.6500,11.6317,21.81,100.394,663.033
93.50,11.7500,11.7636,23.35,101.428,657.847
94.00,11.9000,11.8984,23.13,102.814,652.712
94.50,12.0500,12.0349,22.62,104.245,647.598
95.00,12.1500,12.1722,23.65,105.414,642.464
95.50,12.3000,12.3097,22.61,106.936,637.390
96.00,12.4500,12.4467,23.15,108.501,632.338
96.50,12.6000,12.5826,22.49,110.111,627.309
97.00,12.7500,12.7170,22.75,111.765,622.302
97.50,12.8500,12.8495,23.46,113.156,617.265
98.00,13.0000,12.9804,23.53,114.897,612.302
98.50,13.1000,13.1099,23.21,116.374,607.304
99.00,13.2000,13.2382,24.00,117.894,602.325
99.50,13.4000,13.3652,23.34,120.071,597.496
100.00,13.5000,13.4905,24.71,121.676,592.562
100.50,13.6500,13.6140,23.90,123.630,587.718
101.00,13.7500,13.7356,23.69,125.320,582.826
101.50,13.8500,13.8559,24.20,127.052,577.956
102.00,13.9500,13.9758,24.87,128.825,573.106
102.50,14.1000,14.0961,23.64,130.945,568.360
103.00,14.2000,14.2176,25.12,132.801,563.557
103.50,14.3500,14.3406,24.74,135.002,558.863
104.00,14.4500,14.4648,24.79,136.939,554.107
104.50,14.5500,14.5891,26.21,138.917,549.374
105.00,14.7000,14.7121,25.47,141.237,544.760
105.50,14.9500,14.8324,25.72,144.202,540.372
106.00,15.0000,14.9493,27.97,145.995,535.619
106.50,15.0500,15.0629,29.15,147.828,530.886
107.00,15.1500,15.1742,26.90,150.003,526.278
107.50,15.2500,15.2843,27.13,152.217,521.695
108.00,15.4000,15.3942,27.00,154.768,517.249
108.50,15.5000,15.5038,26.31,157.058,512.720
109.00,15.6500,15.6126,27.38,159.684,508.334
109.50,15.7500,15.7202,27.78,162.048,503.859
110.00,15.8000,15.8262,25.89,164.154,499.288
110.50,15.9500,15.9307,27.87,166.889,494.990
111.00,16.0500,16.0341,27.06,169.366,490.595
111.50,16.1000,16.1368,28.05,171.584,486.098
112.00,16.2500,16.2388,27.43,174.427,481.890
112.50,16.3500,16.3400,25.62,177.012,477.579
113.00,16.4500,16.4397,26.34,179.632,473.296
113.50,16.5500,16.5375,27.24,182.288,469.043
114.00,16.6500,16.6314,26.57,184.979,464.818
114.50,16.7500,16.7176,27.55,187.704,460.622
115.00,16.8000,16.7884,27.23,190.177,456.306
115.50,16.9000,16.8302,27.15,192.972,452.167
116.00,17.0500,16.8247,27.80,196.087,448.213
116.50,17.1500,16.7547,28.41,198.948,444.137
117.00,17.2000,16.6152,28.97,201.560,439.932
117.50,17.3000,16.4264,27.89,204.489,435.914
118.00,17.3500,16.2380,27.77,207.169,431.763
118.50,17.4500,16.1176,29.05,210.164,427.806
119.00,6.9000,16.1239,34.10,156.702,388.998
119.50,17.6000,16.2777,27.99,215.972,419.815
120.00,17.7500,16.5502,28.15,219.338,416.126
120.50,17.8500,16.8754,30.01,222.459,412.297
121.00,17.9000,17.1795,30.00,225.337,408.321
121.50,18.0000,17.4095,31.09,228.520,404.555
122.00,18.1000,17.5457,32.15,231.732,400.823
122.50,17.6000,17.5974,37.91,231.757,394.872
123.00,17.5500,17.5890,34.57,234.248,390.608
123.50,17.5000,17.5468,34.00,236.777,386.364
124.00,17.4500,17.4906,32.46,239.345,382.139
124.50,17.4500,17.4324,32.65,242.212,378.132
125.00,17.3500,17.3771,32.51,244.596,373.753
125.50,17.3000,17.3259,31.74,247.279,369.591
126.00,17.2500,17.2776,31.47,249.999,365.452
126.50,17.2500,17.2312,32.55,253.011,361.538
127.00,17.2000,17.1849,32.09,255.804,357.445
127.50,17.1500,17.1376,34.45,258.636,353.374
128.00,17.1000,17.0883,34.78,261.504,349.326
128.50,17.0500,17.0365,34.85,264.410,345.301
129.00,17.0000,16.9823,34.61,267.352,341.299
129.50,16.9500,16.9259,33.35,270.331,337.322
130.00,16.8500,16.8680,33.20,273.106,333.149
130.50,16.8000,16.8089,33.51,276.159,329.219
131.00,16.7500,16.7492,33.12,279.249,325.313
131.50,16.7000,16.6889,33.38,282.374,321.433
132.00,16.6500,16.6280,33.92,285.535,317.578
132.50,16.5500,16.5665,33.36,288.502,313.520
133.00,16.5000,16.5043,33.96,291.735,309.715
133.50,16.4500,16.4413,33.99,295.003,305.938
134.00,16.4000,16.3776,34.44,298.306,302.187
134.50,16.3000,16.3130,34.30,301.423,298.226
135.00,16.2500,16.2475,34.85,304.797,294.528
135.50,16.2000,16.1811,34.32,308.205,290.858
136.00,16.1000,16.1138,34.25,311.433,286.974
136.50,16.0500,16.0454,33.96,314.911,283.359
137.00,16.0000,15.9758,34.30,318.422,279.772
137.50,15.9000,15.9050,34.31,321.758,275.968
138.00,15.8500,15.8328,34.06,325.338,272.438
138.50,15.7500,15.7593,35.65,328.747,268.688
139.00,15.7000,15.6846,35.29,332.393,265.217
139.50,15.6000,15.6086,36.86,335.874,261.522
140.00,15.5500,15.5310,37.39,339.587,258.110
140.50,15.4500,15.4518,38.36,343.138,254.472
141.00,15.4000,15.3708,36.62,346.916,251.121
141.50,15.3000,15.2883,35.86,350.537,247.542
142.00,15.2000,15.2045,38.24,354.193,243.991
142.50,15.1000,15.1197,37.61,357.885,240.470
143.00,15.0500,15.0343,37.66,361.793,237.242
143.50,14.9500,14.9481,37.38,365.552,233.782
144.00,14.8500,14.8611,38.12,369.346,230.352
144.50,14.8000,14.7727,37.67,373.349,227.221
145.00,14.7000,14.6828,41.50,377.209,223.853
145.50,14.6000,14.5916,41.94,381.103,220.518
146.00,14.5000,14.4993,42.11,385.031,217.213
146.50,14.4000,14.4065,41.88,388.991,213.941
147.00,14.3000,14.3136,40.83,392.985,210.701
147.50,14.2000,14.2209,40.05,397.012,207.493
148.00,14.1500,14.1280,39.49,401.229,204.596
148.50,14.0500,14.0345,39.90,405.318,201.456
149.00,13.9500,13.9399,40.86,409.439,198.350
149.50,13.8500,13.8439,39.24,413.592,195.277
150.00,13.7500,13.7464,40.17,417.776,192.239
150.50,13.6500,13.6476,40.85,421.991,189.235
151.00,13.5500,13.5476,40.42,426.238,186.266
151.50,13.4500,13.4463,40.46,430.515,183.332
152.00,13.3500,13.3436,28.32,434.822,180.434
152.50,13.2500,13.2391,41.12,439.159,177.571
153.00,13.1500,13.1329,40.52,443.525,174.745
153.50,13.0500,13.0247,40.65,447.921,171.955
154.00,12.9000,12.9149,41.02,452.220,168.912
154.50,12.8000,12.8036,42.91,456.677,166.194
155.00,12.7000,12.6911,41.80,461.162,163.514
155.50,12.6000,12.5775,42.45,465.675,160.872
156.00,12.4500,12.4631,41.33,470.100,157.975
156.50,12.3500,12.3479,41.31,474.671,155.408
157.00,12.2500,12.2320,43.03,479.269,152.879
157.50,12.1000,12.1155,42.12,483.786,150.094
158.00,12.0000,11.9983,41.74,488.439,147.643
158.50,11.9000,11.8803,42.82,493.119,145.230
159.00,11.7500,11.7612,41.47,497.725,142.561
159.50,11.6500,11.6408,43.12,502.459,140.227
160.00,11.5500,11.5190,44.19,507.218,137.934
160.50,11.4000,11.3955,43.74,511.910,135.383
161.00,11.2500,11.2704,42.60,516.632,132.871
161.50,11.1500,11.1437,43.55,521.470,130.699
162.00,11.0500,11.0156,43.70,526.331,128.567
162.50,10.9000,10.8862,44.16,531.134,126.177
163.00,10.7500,10.7555,44.20,535.966,123.829
163.50,10.6000,10.6233,45.20,540.826,121.521
164.00,10.5000,10.4873,44.58,545.786,119.556
