HD,Vmag,U-B,B-V,V-R,R-I,V-Rc,Rc-Ic,u_mag,g_mag,r_mag,i_mag,z_mag,Star Name,Identity,SAO,FK5,Magnitude,Spectral class,pm_RA,pm_Dec,RA,Dec
129989,,,,,,,,,,,,,Izar,Epsilon Bodtis,83500,,2.7,K0-II-III,-0.049,0.021,221.2467500,27.0741667
186791,2.72,1.68,1.52,1.07,0.75,0.76,0.68,6.87,3.46,2.18,1.72,1.46,Tarazed,Gamma Aquilae,105223,741,2.72,K3II,0.018,-0.002,296.5649178,10.6132614
146051,2.75,1.96,1.59,1.29,1.03,0.88,0.96,7.32,3.53,2.14,1.41,0.97,Yed Prior,Delta Ophiuchi,141052,603,2.74,M0.5III,-0.044,-0.143,243.5864106,-3.6943225
130841,2.75,0.09,0.15,0.14,0.04,0.08,0.06,3.99,2.74,2.80,2.96,3.09,Zubenelgenubi,Alpha Librae,158840,548,2.75,A3IV,-0.106,-0.067,222.7196378,-16.0417764
161096,2.77,1.24,1.17,0.82,0.57,0.58,0.52,6.13,3.32,2.38,2.09,1.94,Kelb al Rai,Beta Ophiuchi,122671,665,2.77,K2III,-0.04,0.159,265.8681361,4.5673044
161096,2.77,1.24,1.17,0.82,0.57,0.58,0.52,6.13,3.32,2.38,2.09,1.94,Celbalrai,Beta Ophiuchi,122671,665,2.77,K2III,-0.04,0.159,265.8681361,4.5673044
148856,2.77,0.69,0.94,0.64,0.47,0.45,0.44,5.26,3.19,2.49,2.28,2.17,Kornephoros,Beta Herculis,84411,618,2.77,G7IIIa,-0.098,-0.015,247.5549981,21.4896114
33111,2.79,0.10,0.13,0.14,0.08,0.07,0.09,4.03,2.77,2.85,2.99,3.10,Cursa,Beta Eridani,131794,188,2.79,A3III,-0.095,-0.081,76.9624394,-5.0864458
159181,,,,,,,,,,,,,Alwaid,Beta Draconis,30429,653,2.79,G2Ib-IIa,-0.016,0.015,262.6082500,52.3013833
159181,,,,,,,,,,,,,Rastaban,Beta Draconis,30429,653,2.79,G2Ib-IIa,-0.016,0.015,262.6082500,52.3013833
113226,2.84,0.74,0.94,0.64,0.45,0.45,0.42,5.39,3.26,2.56,2.37,2.27,Zaniah,Epsilon Virginis,100384,488,2.83,G8IIIab,-0.273,0.02,195.5441578,10.9591503
886,,,,,,,,,,,,,Algenib,Gamma Pegasi,91781,7,2.83,B2IV,0.003,-0.012,3.3092500,15.1836167
113226,2.84,0.74,0.94,0.64,0.45,0.45,0.42,5.39,3.26,2.56,2.37,2.27,Vindemiatrix,Epsilon Virginis,100384,488,2.83,G8IIIab,-0.273,0.02,195.5441578,10.9591503
24398,2.85,-0.78,0.12,0.14,0.09,0.07,0.14,2.89,2.82,2.92,2.99,3.07,Atik,Zeta Persei,56799,144,2.85,B1Ib,0.006,-0.01,58.5330103,31.8836336
23630,2.87,-0.35,-0.09,nan,nan,nan,nan,3.38,2.73,3.03,nan,nan,Alcyone,Eta Tauri,76199,139,2.87,B7IIIe,0.019,-0.046,56.8711522,24.1051356
207098,,,,,,,,,,,,,Deneb Algiedi,Delta Capricorni,164644,819,2.87,Am,0.263,-0.297,326.7600000,-16.1272167
44478,,,,,,,,,,,,,Tejat,Mu Geminorum,78297,241,2.88,M3IIIab,0.054,-0.111,95.7400000,22.5136167
58715,,,,,,,,,,,,,Gomeisa,Beta Canis Minoris,115456,285,2.9,B8Ve,-0.052,-0.038,111.7875000,8.2894500
112413,,,,,,,,,,,,,Cor Caroli,Alpha Canem Venaticorum,63257,485,2.9,A0pSiEuHg,-0.234,0.056,194.0070000,38.3183333
204867,2.87,0.57,0.84,0.61,0.41,0.42,0.38,5.14,3.24,2.62,2.47,2.40,Sadalsuud,Beta Aquarii,145457,808,2.91,G0Ib,0.021,-0.008,322.8897156,-5.5711756
215182,2.95,0.57,0.86,0.64,0.48,0.45,0.39,5.23,3.33,2.69,2.52,2.45,Matar,Eta Pegasi,90734,857,2.94,G2II-III+F0V,0.015,-0.025,340.7505725,30.2212450
25025,,,,,,,,,,,,,Zaurac,Gamma Eridani,149283,149,2.95,M0.5IIICa-1Cr-1,0.061,-0.111,59.5075000,-13.5086167
108767,2.94,-0.09,-0.05,-0.05,-0.04,-0.04,-0.02,3.83,2.82,3.09,3.34,3.52,Algorab,Delta Corvi,157323,465,2.95,B9.5V,-0.21,-0.138,187.4660631,-16.5154314
209750,,,,,,,,,,,,,Sadalmelik,Alpha Aquarii,145862,827,2.96,G2Ib,0.02,-0.01,331.4457500,0.3197167
48329,2.98,1.46,1.40,0.96,0.61,0.67,0.55,6.76,3.66,2.50,2.18,2.00,Mebsuta,Epsilon Geminorum,78682,254,2.98,G8Ib,-0.006,-0.013,100.9830261,25.1311253
31964,,,,,,,,,,,,,Maaz,Epsilon Aurigae,39955,183,2.99,F0Iae+B,-0.001,-0.004,75.4920000,43.8233333
14386,,,,,,,,,,,,,Mira,Omicron Ceti,129825,,3.04,M7IIIe+Bep,-0.008,-0.237,34.8362500,-2.9775000
137422,,,,,,,,,,,,,Pherkad,Gamma Ursae Minoris,8220,569,3.05,A3II-III,-0.019,0.02,230.1820000,71.8338833
89758,3.05,1.89,1.59,1.28,0.96,0.86,0.88,7.52,3.83,2.45,1.79,1.40,Tania Australis,Mu Ursae Majoris,43310,386,3.05,M0III,-0.082,0.035,155.5822489,41.4995192
180711,3.07,0.78,1.00,0.70,0.51,0.49,0.46,5.71,3.53,2.76,2.52,2.40,Nodus Secundus,Delta Draconis,18222,723,3.07,G9III,0.094,0.093,288.1387581,67.6615406
180711,3.07,0.78,1.00,0.70,0.51,0.49,0.46,5.71,3.53,2.76,2.52,2.40,Altais,Delta Draconis,18222,723,3.07,G9III,0.094,0.093,288.1387581,67.6615406
183912,3.08,0.62,1.13,0.87,0.66,0.62,0.60,5.58,3.61,2.69,2.31,2.11,Albireo,Beta Cygni,87301,732,3.08,K3II+B9.5V,0.002,-0.002,292.6803583,27.9596778
193495,3.08,0.27,0.79,0.55,0.50,0.38,0.46,4.92,3.42,2.86,2.63,2.52,Dabih,Beta Capricorni,163481,762,3.08,F8V+A0,0.042,0.002,305.2528053,-14.7813831
76644,3.14,0.07,0.19,0.22,0.07,0.13,0.09,4.37,3.15,3.17,3.30,3.41,Dnoces,Iota Ursae Majoris,42630,335,3.14,A7IV,-0.444,-0.226,134.8018900,48.0418261
156164,3.13,0.08,0.08,0.05,0.03,0.02,0.05,4.32,3.08,3.23,3.39,3.53,Sarin,Delta Herculis,84951,641,3.14,A3IV,-0.021,-0.157,258.7579608,24.8392069
76644,3.14,0.07,0.19,0.22,0.07,0.13,0.09,4.37,3.15,3.17,3.30,3.41,Talitha Borealis,Iota Ursae Majoris,42630,335,3.14,A7IV,-0.444,-0.226,134.8018900,48.0418261
222404,3.21,0.95,1.03,0.75,0.51,0.53,0.46,6.10,3.68,2.87,2.64,2.52,Errai,Gamma Cephei,10818,893,3.21,K1III-IV,-0.067,0.151,354.8368814,77.6322744
222404,3.21,0.95,1.03,0.75,0.51,0.53,0.46,6.10,3.68,2.87,2.64,2.52,Alrai,Gamma Cephei,10818,893,3.21,K1III-IV,-0.067,0.151,354.8368814,77.6322744
205021,,,,,,,,,,,,,Alfirk,Beta Cephei,10057,809,3.23,B1IV,0.01,0.007,322.1650000,70.5608333
