Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,RA,Dec,pm_RA,pm_Dec
Cursa,Beta Eridani,131794,33111,188,2.79,A3III,76.96249999999999,-5.086383333333333,-0.095,-0.081
Dabih,Beta Capricorni,163481,193495,762,3.08,F8V+A0,305.253,-14.781383333333334,0.042,0.002
Deneb,Alpha Cygni,49941,197345,777,1.25,A2Ia,310.358,45.28028333333334,0.003,0.002
Deneb Algiedi,Delta Capricorni,164644,207098,819,2.87,Am,326.75999999999993,-16.127216666666666,0.263,-0.297
Deneb Kaitos,Beta Ceti,147420,4128,22,2.04,G9.5IIICH-1,10.897499999999999,-17.986666666666668,0.234,0.033
Denebola,Beta Leonis,99809,102647,444,2.14,A3V,177.26499999999996,14.57195,-0.497,-0.114
Diphda,Beta Ceti,147420,4128,22,2.04,G9.5IIICH-1,10.897499999999999,-17.986666666666668,0.234,0.033
Dnoces,Iota Ursae Majoris,42630,76644,335,3.14,A7IV,134.80175,48.041666666666664,-0.444,-0.226
Dschubba,Delta Scorpii,184014,143275,594,2.32,B0.3IV,240.08324999999996,-22.621666666666666,-0.012,-0.022
Dubhe,Alpha Ursae Majoris,15384,95689,417,1.79,K0IIIa,165.932,61.75083333333333,-0.119,-0.067
Dziban,Psi Draconis,8890,162003,670,4.58,F5IV-V,265.48449999999997,72.14888333333333,0.025,-0.267
Edasich,Iota Draconis,29520,137759,571,3.29,K2III,231.23249999999996,58.966116666666665,-0.009,0.017
El Nath,Beta Tauri,77168,35497,202,1.65,B7III,81.573,28.6075,0.022,-0.175
Electra,17 Tauri,76131,23302,136,3.7,B6III,56.21874999999999,24.113333333333333,0.019,-0.046
Eltanin,Gamma Draconis,30653,164058,676,2.23,K5III,269.15174999999994,51.488883333333334,-0.008,-0.019
Enif,Epsilon Pegasi,127029,206778,815,2.39,K2Ib,326.04675,9.875,0.031,-0.001
Errai,Gamma Cephei,10818,222404,893,3.21,K1III-IV,354.83674999999994,77.6325,-0.067,0.151
Fomalhaut,Alpha Piscis Austrini,191524,216956,867,1.16,A3V,344.41299999999995,-29.622216666666667,0.333,-0.165
Furud,Zeta Canis Majoris,196698,44402,240,3.02,B2.5V,95.07824999999998,-30.063333333333333,0.009,0.003
Gacrux,Gamma Crucis,240019,108903,468,1.63,M3.5III,187.79124999999996,-57.11333333333334,0.023,-0.262
Gemma,Alpha Coronae Borealis,83893,139006,578,2.23,A0V+G5V,233.67199999999997,26.714716666666668,0.121,-0.089
Giauzar,Lambda Draconis,15532,100029,433,3.84,M0IIICa-1,172.85074999999998,69.33111666666667,-0.039,-0.017
Giedi,Alpha Capricorni,163427,192947,761,3.57,G8IIIb,304.51374999999996,-12.544716666666666,0.064,0.004
Gienah,Gamma Corvi,157176,106625,457,2.59,B8IIIpHgMn,183.95174999999998,-17.54195,-0.161,0.023
Gomeisa,Beta Canis Minoris,115456,58715,285,2.9,B8Ve,111.78749999999998,8.28945,-0.052,-0.038
Graffias,Beta Scorpii,159682,144217,597,2.62,B1V,241.35924999999995,-19.80555,-0.006,-0.019
Grumium,Xi Draconis,30631,163588,671,3.75,K2-III,268.38199999999995,56.87278333333333,0.094,0.08
Hadar (Agena),Beta Centauri,252582,122451,518,0.61,B1III,210.95574999999997,-60.37305,-0.032,-0.019
Hamal,Alpha Arietis,75151,12929,74,2.0,K2-IIICa-1,31.793249999999993,23.4625,0.19,-0.148
Heka,Lambda Orionis,112921,36861,,3.54,O8III((f)),83.78449999999998,9.934166666666666,0.0,-0.006
Homam,Zeta Pegasi,108103,214923,855,3.4,B8V,340.36549999999994,10.831383333333333,0.08,-0.013
Izar,Epsilon Bodtis,83500,129989,,2.7,K0-II-III,221.24674999999996,27.074166666666667,-0.049,0.021
Jabbah,Nu Scorpii,159764,145502,,4.01,B3V,242.99874999999997,-19.46055,-0.01,-0.023
Kaffaljidhm,Gamma Ceti,110707,16970,,3.47,A3V,40.824999999999996,3.2358333333333333,-0.142,-0.152
Kaitain,Alpha Piscium,110291,12447,,4.33,A0pSiSr,30.51175,2.7636166666666666,0.033,-0.005
Kaus Australis,Epsilon Sagittarii,210091,169022,689,1.85,B9.5III,276.043,-34.38471666666667,-0.038,-0.124
Kaus Borealis,Lambda Sagittarii,186841,169916,692,2.81,K1+IIIb,276.99249999999995,-25.421666666666667,-0.044,-0.185
Kaus Media,Delta Sagittarii,186681,168454,687,2.7,K3-IIIa*,275.24875,-29.82805,0.035,-0.028
Keid,Omicron2 Eridani,131019,26574,154,4.04,F2II-III,62.966249999999995,-6.8375,0.01,0.082
Kelb al Rai,Beta Ophiuchi,122671,161096,665,2.77,K2III,265.86825,4.567216666666667,-0.04,0.159
Kitalpha,Alpha Equulei,126662,202447,800,3.92,G0III+A5V,318.95574999999997,5.2477833333333335,0.059,-0.088
Kochab,Beta Ursae Minoris,8102,131873,550,2.08,K4-III,222.67624999999998,74.15555,-0.031,0.012
Kornephoros,Beta Herculis,84411,148856,618,2.77,G7IIIa,247.55499999999998,21.489716666666666,-0.098,-0.015
Kraz,Beta Corvi,180915,109379,471,2.65,G5II,188.59675,-23.39666666666667,0.002,-0.054
Kuma,Mu Draconis,30239,154906,,5.8,F7V,256.33199999999994,54.470283333333334,-0.073,0.085
Kurah,Xi Cephei,19827,209790,,4.29,A3/6Vm,330.9475,64.62778333333333,0.209,0.085
Lesath,Nu Scorpii,159764,145502,,4.01,B3V,242.99874999999997,-19.46055,-0.01,-0.023
Maasym,Kappa Herculis,101951,145001,1421,5.0,G8III,242.01874999999995,17.04695,-0.032,-0.007
Maaz,Epsilon Aurigae,39955,31964,183,2.99,F0Iae+B,75.49199999999999,43.82333333333333,-0.001,-0.004
Maia,20 Tauri,76155,23408,,3.87,B8III,56.45674999999999,24.367783333333332,0.02,-0.046
Marfik,Lambda Ophiuchi,121658,148857,,3.82,A0V+A4V,247.72824999999997,1.9838833333333334,-0.027,-0.073
